"grid_name","nb_tot_carr","nb_carr_casias","IPP_chimique","IPP_elements_mineraux","IPP_metaux_et_metalloides","IPP_micropolluants_organiques","IPP_pharmaceutiques_et_hormones","IPP_phytosanitaires","groupe_de_substances","pourcentage_carreaux"
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_carr_casias",3.26912536214862
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_chimique",3.2470770536866
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_elements_mineraux",3.24790128951696
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_metaux_metalloides",3.24563464098348
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_micropolluants_organiques",3.24439828723794
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_pharmaceutiques_hormones",0.0968477100668043
"pollution_grid_200m",485298,15865,15758,15762,15751,15745,470,13738,"part_phytosanitaires",2.83083795935693
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_carr_casias",9.58882914942173
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_chimique",9.54499155481633
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_elements_mineraux",9.54499155481633
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_metaux_metalloides",9.53209814463827
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_micropolluants_organiques",9.53596616769169
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_pharmaceutiques_hormones",0.1779290604572
"pollution_grid_500m",77559,7437,7403,7403,7393,7396,138,6609,"part_phytosanitaires",8.52125478667853
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_carr_casias",18.9656938044035
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_chimique",18.9042498719918
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_elements_mineraux",18.9042498719918
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_metaux_metalloides",18.868407578085
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_micropolluants_organiques",18.8837685611879
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_pharmaceutiques_hormones",0.261136712749616
"pollution_grid_1km",19530,3704,3692,3692,3685,3688,51,3347,"part_phytosanitaires",17.1377368151562
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_carr_casias",34.6764346764347
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_chimique",34.5543345543346
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_elements_mineraux",34.5746845746846
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_metaux_metalloides",34.5543345543346
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_micropolluants_organiques",34.4932844932845
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_pharmaceutiques_hormones",0.345950345950346
"pollution_grid_2km",4914,1704,1698,1699,1698,1695,17,1576,"part_phytosanitaires",32.0716320716321
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_carr_casias",47.2527472527472
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_chimique",47.1153846153846
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_elements_mineraux",47.1153846153846
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_metaux_metalloides",47.0695970695971
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_micropolluants_organiques",47.0695970695971
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_pharmaceutiques_hormones",0.32051282051282
"pollution_grid_3km",2184,1032,1029,1029,1028,1028,7,965,"part_phytosanitaires",44.1849816849817
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_carr_casias",54.7275641025641
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_chimique",54.5673076923077
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_elements_mineraux",54.5673076923077
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_metaux_metalloides",54.5673076923077
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_micropolluants_organiques",54.5673076923077
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_pharmaceutiques_hormones",0.400641025641026
"pollution_grid_4km",1248,683,681,681,681,681,5,651,"part_phytosanitaires",52.1634615384615
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_carr_casias",59.0570719602978
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_chimique",59.0570719602978
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_elements_mineraux",59.0570719602978
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_metaux_metalloides",59.0570719602978
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_micropolluants_organiques",59.0570719602978
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_pharmaceutiques_hormones",0.248138957816377
"pollution_grid_5km",806,476,476,476,476,476,2,466,"part_phytosanitaires",57.8163771712159
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_carr_casias",63.5531135531135
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_chimique",63.3699633699634
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_elements_mineraux",63.3699633699634
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_metaux_metalloides",63.3699633699634
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_micropolluants_organiques",63.3699633699634
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_pharmaceutiques_hormones",0.366300366300366
"pollution_grid_6km",546,347,346,346,346,346,2,338,"part_phytosanitaires",61.9047619047619
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_carr_casias",63.768115942029
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_chimique",63.768115942029
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_elements_mineraux",63.768115942029
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_metaux_metalloides",63.768115942029
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_micropolluants_organiques",63.768115942029
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_pharmaceutiques_hormones",0.241545893719807
"pollution_grid_7km",414,264,264,264,264,264,1,262,"part_phytosanitaires",63.2850241545894
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_carr_casias",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_chimique",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_elements_mineraux",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_metaux_metalloides",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_micropolluants_organiques",64.6875
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_pharmaceutiques_hormones",0.3125
"pollution_grid_8km",320,207,207,207,207,207,1,202,"part_phytosanitaires",63.125
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_carr_casias",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_chimique",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_elements_mineraux",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_metaux_metalloides",66.2698412698413
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_micropolluants_organiques",66.6666666666667
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_pharmaceutiques_hormones",0
"pollution_grid_9km",252,168,168,168,167,168,0,166,"part_phytosanitaires",65.8730158730159
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_carr_casias",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_chimique",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_elements_mineraux",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_metaux_metalloides",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_micropolluants_organiques",66.3461538461538
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_pharmaceutiques_hormones",0
"pollution_grid_10km",208,138,138,138,138,138,0,138,"part_phytosanitaires",66.3461538461538
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_carr_casias",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_chimique",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_elements_mineraux",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_metaux_metalloides",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_micropolluants_organiques",63.3333333333333
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_pharmaceutiques_hormones",0
"pollution_grid_11km",180,114,114,114,114,114,0,114,"part_phytosanitaires",63.3333333333333
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_carr_casias",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_chimique",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_elements_mineraux",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_metaux_metalloides",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_micropolluants_organiques",68.5314685314685
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_pharmaceutiques_hormones",0
"pollution_grid_12km",143,98,98,98,98,98,0,98,"part_phytosanitaires",68.5314685314685
